Generation,Maximum Fitness,Average Fitness,Variance
0,29.436213,8.983953,48.710114
1,29.436213,8.475812,54.752644
2,29.436213,8.614056,59.755726
3,29.436213,8.596816,61.66725
4,29.436213,8.477345,61.257347
5,29.641855,8.982929,66.15714
6,29.641855,9.218413,66.118515
7,31.394026,9.5191345,68.317184
8,31.394026,9.578762,68.66233
9,31.394026,10.041922,70.70602
10,31.394026,10.23434,70.1153
11,31.394026,10.49218,73.443924
12,31.394026,10.699725,73.18519
13,31.394026,10.964285,76.40351
14,31.474152,11.460842,80.84571
15,35.11098,12.263612,83.94631
16,35.11098,12.629814,86.28712
17,35.11098,12.972448,85.8505
18,35.11098,13.414459,90.27989
19,35.11098,13.800991,93.129486
20,35.11098,13.992046,95.45274
21,35.11098,14.157828,97.819756
22,35.11098,14.72279,101.92719
23,35.11098,14.729206,101.73079
24,35.11098,14.684798,101.485085
25,35.11098,14.748382,104.631226
26,35.11098,14.947147,106.44313
27,35.11098,15.131084,109.02747
28,35.11098,15.459822,109.55451
29,35.11098,15.710532,106.874886
30,35.11098,15.749441,107.927124
31,35.11098,16.149242,107.40912
32,35.11098,16.280573,108.53765
33,35.11098,16.778545,106.419174
34,35.11098,17.244347,105.857895
35,35.11098,17.292116,105.5956
36,35.11098,17.733957,105.76704
37,35.11098,18.147076,103.30102
38,35.11098,18.250603,105.25113
39,35.11098,18.369268,106.82516
40,35.11098,18.638327,110.44977
41,35.11098,18.63976,108.057365
42,35.11098,18.646301,107.737175
43,35.11098,19.093681,104.95775
44,35.11098,19.209576,105.62558
45,35.11098,19.395454,103.23882
46,35.11098,19.573502,103.620056
47,35.11098,19.939938,103.31098
48,35.11098,20.37464,97.85406
49,35.11098,20.804388,96.41369
50,35.11098,21.098396,92.300255
51,35.11098,21.837114,86.72743
52,35.11098,22.033222,85.01889
53,35.11098,22.323858,83.38897
54,35.11098,22.467012,85.38596
55,35.11098,22.581837,86.77773
56,35.11098,22.649939,85.37555
57,35.11098,22.739136,81.75749
58,35.11098,23.026857,79.299576
59,35.11098,23.304314,80.13718
60,35.11098,23.405577,80.70051
61,35.11098,23.72761,76.79207
62,35.11098,23.741348,75.40641
63,35.11098,23.947273,73.720505
64,35.11098,24.481081,67.00228
65,35.11098,24.611794,67.93499
66,35.11098,24.531649,67.58929
67,35.11098,24.43053,71.93862
68,35.11098,24.583,69.06665
69,35.11098,24.737122,67.626305
70,35.11098,25.00718,63.053024
71,35.11098,25.036993,64.76805
72,35.11098,25.227043,63.26677
73,35.11098,25.410612,63.25271
74,35.11098,25.603456,59.791412
75,35.11098,25.659021,59.24657
76,35.11098,25.879612,53.867207
77,35.11098,26.007174,55.895805
78,35.11098,25.915884,56.751648
79,35.11098,25.96841,58.19757
80,35.11098,25.978281,60.57158
81,35.11098,25.829334,64.21436
82,35.11098,25.961031,63.045708
83,35.11098,25.96521,63.587357
84,35.11098,26.084763,61.913273
85,35.11098,26.094772,64.56356
86,35.11098,26.182384,63.442913
87,35.11098,26.488811,59.817688
88,35.11098,26.645874,58.369694
89,35.11098,26.794548,56.252552
90,35.11098,26.862123,56.66398
91,35.11098,26.861546,59.304157
92,35.11098,26.582432,64.51464
93,35.11098,26.517023,66.221085
94,35.11098,26.545605,67.71366
95,35.11098,26.592989,68.31974
96,35.11098,26.53168,68.612045
97,35.11098,26.721653,65.2423
98,35.11098,26.760601,66.31969
99,35.11098,26.845493,65.54691
