Generation,Maximum Fitness,Average Fitness,Variance
0,8.046411,4.8527956,1.5130261
1,8.046411,4.8221555,1.4608542
2,8.046411,4.7206764,1.4641272
3,8.046411,4.7069426,1.5120857
4,8.046411,4.7090473,1.5350847
5,8.046411,4.7588243,1.5996158
6,8.046411,4.865324,1.5731038
7,8.046411,4.953375,1.4985503
8,8.046411,4.954023,1.5019388
9,8.046411,5.0448036,1.3725587
10,8.046411,5.05727,1.474127
11,8.046411,5.0579524,1.5500256
12,9.96296,5.18341,1.6382984
13,9.96296,5.2246246,1.6784978
14,9.96296,5.240478,1.6609871
15,9.96296,5.2999783,1.6976209
16,9.96296,5.378737,1.7057638
17,9.96296,5.3322115,1.8320416
18,9.96296,5.332249,1.8299508
19,9.96296,5.37137,1.6285775
20,9.96296,5.369751,1.6329865
21,9.96296,5.406012,1.83618
22,9.96296,5.4928303,1.7444595
23,9.96296,5.4997425,1.8677931
24,9.96296,5.5446706,1.7417026
25,9.96296,5.5512156,1.7309393
26,9.96296,5.6072826,1.6123236
27,9.96296,5.677641,1.5423821
28,9.96296,5.7024407,1.5407304
29,9.96296,5.65533,1.8279274
30,9.96296,5.6843457,1.7912619
31,9.96296,5.6715474,2.106385
32,9.96296,5.7124214,2.291425
33,9.96296,5.801077,2.2602093
34,9.96296,5.833378,2.2209396
35,9.96296,5.8931,2.4724185
36,9.96296,5.925485,2.4552977
37,9.96296,5.9561925,2.8106356
38,9.96296,6.035088,2.6936026
39,9.96296,6.1532683,2.5170403
40,9.96296,6.2369523,2.7784772
41,9.96296,6.4168963,2.9068317
42,9.96296,6.490453,2.8822215
43,9.96296,6.5851893,2.7877643
44,9.96296,6.5890684,2.7864923
45,9.96296,6.5696974,2.8253882
46,9.96296,6.6364594,2.7505105
47,11.3807125,6.716119,3.1471612
48,11.3807125,6.7851696,3.322749
49,11.3807125,6.831922,3.2662187
50,11.3807125,6.844632,3.347169
51,11.3807125,6.895163,3.2188709
52,11.3807125,6.975633,2.9639757
53,11.3807125,7.047034,3.0876696
54,11.3807125,7.0649195,3.0512474
55,11.3807125,7.045548,3.3288515
56,11.3807125,7.165988,3.4070153
57,11.3807125,7.201748,3.438825
58,11.3807125,7.276795,3.52409
59,11.3807125,7.2941465,3.463139
60,11.3807125,7.3427076,3.5040483
61,11.3807125,7.3427076,3.5040483
62,11.3807125,7.4146442,3.713584
63,11.3807125,7.4317226,3.9600928
64,11.3807125,7.592655,3.9016283
65,11.3807125,7.589773,3.9105976
66,11.3807125,7.668194,3.9209023
67,11.3807125,7.666608,3.925879
68,11.3807125,7.719424,3.6012638
69,11.3807125,7.7412004,3.6557288
70,11.3807125,7.7899556,3.4774435
71,11.3807125,7.7899632,3.4774199
72,11.3807125,7.7899632,3.4774199
73,11.3807125,7.817584,3.3707094
74,11.3807125,7.8632493,3.4852939
75,11.3807125,7.8632493,3.4852939
76,11.3807125,7.9167633,3.5649781
77,11.3807125,7.923591,3.54643
78,11.3807125,7.977143,3.893836
79,11.3807125,7.9974756,3.8546436
80,11.3807125,8.042615,4.033211
81,11.3807125,8.062793,4.238465
82,11.3807125,8.074484,4.196422
83,11.3807125,8.143567,4.126158
84,11.3807125,8.226952,4.305607
85,11.3807125,8.309094,3.8446202
86,11.3807125,8.356713,3.9087238
87,11.3807125,8.377059,3.9416869
88,11.3807125,8.433858,3.975629
89,11.3807125,8.472812,4.181314
90,11.3807125,8.532846,4.182037
91,11.3807125,8.553327,4.1251717
92,11.3807125,8.542013,4.1965375
93,11.3807125,8.545721,4.184288
94,11.3807125,8.610899,4.1712675
95,11.3807125,8.610899,4.1712675
96,11.3807125,8.661844,4.3434463
97,11.3807125,8.763672,4.366689
98,11.441371,8.803614,4.517943
99,11.441371,8.805097,4.5158796
