ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12
0,1.0,-0.49140072,0.36652088,-0.27771753,0.1631521,0.5891099,-0.03710538,0.15134466,-0.9613943,0.8844913,-0.8143008,-0.8925011,-0.2728585,-0.107132375
1,1.0,-0.09498119,0.98498225,-0.27771753,0.1631521,0.5891099,-0.03710538,0.15134466,-0.9613943,0.8844913,-0.88735586,0.041127205,0.8821405,-0.107132375
2,1.0,-0.84188026,0.98498225,-0.27771753,0.1631521,0.19156218,-0.03710538,0.15134466,-0.9613943,0.8844913,-0.8143008,-0.8925011,-0.2728585,-0.107132375
3,1.0,-0.49140072,0.98498225,-0.27771753,0.1631521,-0.74141836,0.85584736,0.15134466,0.27546692,-0.15867835,-0.8143008,-0.8925011,-0.2728585,-0.107132375
4,1.0,-0.04719329,0.36652088,-0.27771753,-0.8317853,0.37854576,-0.03710538,0.15134466,0.27546692,-0.6766157,-0.88735586,-0.8925011,-0.2728585,-0.107132375
5,1.0,-0.49140072,0.8015466,-0.27771753,-0.8317853,-0.74141836,-0.03710538,0.15134466,-0.9613943,0.8844913,-0.88735586,0.7248899,0.8821405,-0.107132375
6,1.0,-0.04719329,0.8015466,-0.27771753,-0.8317853,-0.74141836,0.85584736,0.15134466,0.27546692,0.8844913,-0.88735586,0.7248899,-0.9632746,-0.67427504
7,1.0,-0.04719329,0.98498225,-0.74508756,-0.8317853,0.37854576,-0.03710538,0.15134466,-0.9613943,-0.6766157,-0.3435331,0.7248899,-0.9296495,-0.107132375
8,1.0,-0.49140072,0.36652088,-0.27771753,-0.8317853,-0.74141836,0.85584736,-0.18347555,-0.04298371,-0.6766157,-0.3435331,-0.8925011,0.8821405,-0.67427504
9,1.0,-0.04719329,0.8015466,-0.27771753,-0.8317853,-0.74141836,0.43824625,-0.18347555,-0.9613943,-0.15867835,-0.3435331,0.7248899,0.8821405,-0.67427504
10,1.0,0.25402737,0.8015466,0.43759823,0.1631521,-0.74141836,-0.8422421,0.15134466,-0.04298371,-0.6766157,-0.3435331,0.7248899,0.8821405,-0.67427504
11,1.0,0.25402737,0.98498225,-0.27771753,-0.74391043,-0.74141836,0.99220717,-0.18347555,0.27546692,0.6039312,-0.3435331,0.7248899,0.8821405,-0.67427504
12,1.0,0.25402737,0.8015466,-0.46217465,-0.8317853,-0.74141836,0.43824625,-0.18347555,0.27546692,-0.6766157,-0.3435331,0.7248899,-0.9296495,0.5689719
13,1.0,0.25402737,0.8015466,0.43759823,-0.8317853,0.4790908,-0.50513065,-0.18347555,-0.04298371,0.6187211,-0.3435331,0.7248899,0.9584147,-0.67427504
14,1.0,-0.49140072,-0.9182247,-0.46217465,-0.8317853,-0.74141836,0.99220717,-0.47017974,0.7530564,0.8080276,-0.3435331,0.7248899,0.8821405,0.5689719
15,1.0,0.25402737,0.8015466,-0.46217465,-0.74391043,-0.74141836,0.43824625,-0.47017974,-0.42873836,0.6039312,0.34470415,0.7248899,-0.9296495,0.5689719
16,1.0,0.25402737,0.8015466,-0.46217465,-0.20223957,0.4790908,0.99220717,-0.18347555,0.7530564,0.6039312,-0.3435331,0.7248899,0.9584147,0.0762316
17,1.0,0.63467133,0.8015466,-0.46217465,0.95335317,-0.74141836,0.53033006,-0.18347555,0.27546692,0.6187211,0.9019562,-0.5318049,0.052116156,0.0762316
18,1.0,-0.9237372,-0.9182247,-0.46217465,-0.74391043,0.4790908,0.99220717,-0.47017974,-0.42873836,0.6187211,-0.3435331,-0.5318049,-0.9296495,0.0762316
