ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12
0,1.0,-0.45800877,0.52185273,-0.8923276,0.7010238,0.47383165,0.3920914,0.21362305,0.9423567,0.078238964,0.91251147,0.4437828,0.29407692,0.180421
1,1.0,-0.45800877,0.52185273,-0.8923276,-0.09585363,-0.9114137,-0.4807248,0.21362305,0.9423567,-0.21116531,0.91251147,0.3692745,-0.8392134,0.180421
2,1.0,-0.45800877,0.52185273,-0.38829088,0.7010238,0.47383165,0.3920914,0.63266087,0.77408564,-0.21116531,0.91251147,0.31619298,0.48135448,0.180421
3,1.0,-0.34520346,0.52185273,-0.8923276,0.7010238,0.47383165,0.3920914,-0.5672453,0.77275395,0.078238964,0.91251147,0.31619298,-0.8392134,0.12673557
4,1.0,-0.45800877,-0.85273385,-0.8923276,0.5598537,0.47383165,0.3920914,0.21362305,0.9423567,-0.14607334,0.91251147,0.3692745,0.29407692,0.180421
5,1.0,0.3129624,-0.6593491,-0.38829088,0.7010238,0.47383165,0.3920914,0.63266087,0.9423567,-0.21116531,-0.60821664,0.3692745,-0.7077271,0.180421
6,1.0,-0.061616838,-0.85273385,-0.8923276,-0.09585363,0.47383165,0.3920914,0.21362305,0.9423567,-0.21116531,-0.60821664,-0.55426365,-0.7077271,0.180421
7,1.0,0.3129624,-0.6593491,-0.8923276,0.7010238,0.47383165,0.3920914,-0.5672453,0.9423567,0.078238964,0.91251147,0.08510351,0.29407692,0.180421
8,1.0,-0.9026485,0.17331886,-0.8923276,0.5598537,0.47383165,0.3920914,0.63266087,0.9423567,-0.14607334,0.91251147,-0.55426365,-0.7077271,0.180421
9,1.0,-0.47795737,-0.6593491,-0.8923276,0.17506564,0.47383165,0.3920914,0.21362305,0.9423567,-0.14607334,-0.8410011,0.3692745,-0.7077271,0.180421
10,1.0,0.3129624,0.17331886,-0.8923276,0.5598537,0.09995234,0.3920914,0.21362305,-0.41660672,-0.14607334,-0.8410011,0.08510351,0.54722273,0.180421
11,1.0,0.3129624,-0.85273385,-0.8923276,0.17506564,-0.8845268,0.3920914,0.21362305,0.9423567,0.13340545,0.91251147,0.08510351,-0.7077271,0.180421
12,1.0,0.3129624,-0.85273385,-0.8923276,-0.37802076,-0.8845268,0.3920914,-0.5906622,0.9423567,0.13340545,-0.8410011,0.7004775,0.54722273,0.46918333
13,1.0,-0.47795737,-0.85273385,-0.8923276,0.79395247,-0.8845268,0.3920914,0.21362305,-0.41660672,0.13340545,0.91251147,0.3692745,0.54722273,0.46918333
14,1.0,0.3129624,-0.85273385,-0.8923276,0.79395247,-0.8845268,-0.5812943,0.21362305,0.8151754,0.13340545,-0.8410011,0.08510351,0.54722273,0.46918333
15,1.0,0.3129624,-0.85273385,-0.8923276,-0.37802076,0.90886426,-0.5812943,0.04712081,-0.3767203,0.13340545,0.9189975,0.08510351,0.54722273,0.180421
16,1.0,0.56994987,-0.85273385,-0.22476566,0.79395247,-0.8845268,0.3920914,-0.5906622,0.8151754,0.13340545,-0.8410011,0.08510351,-0.7077271,0.46918333
17,1.0,0.3129624,-0.85273385,-0.8923276,0.17506564,-0.8845268,0.3920914,0.21362305,0.8151754,0.13340545,-0.8410011,0.08510351,0.54722273,0.46918333
18,1.0,0.3129624,-0.85273385,-0.8923276,0.79395247,0.90886426,-0.5812943,0.04712081,-0.41660672,0.13340545,0.9189975,0.08510351,0.54722273,0.46918333
19,1.0,0.3129624,-0.85273385,-0.58255994,0.17506564,-0.8845268,-0.5812943,0.04712081,0.8151754,0.13340545,-0.8410011,0.08510351,0.54722273,0.46918333
20,1.0,0.56994987,-0.85273385,-0.22476566,0.79395247,-0.6342269,-0.5812943,0.04712081,-0.8979264,0.13340545,0.9189975,0.45540118,0.54722273,0.14493954
21,1.0,-0.061616838,-0.85273385,-0.10410321,0.17506564,-0.8845268,-0.13732886,0.04712081,0.8151754,0.7247361,-0.8410011,0.45540118,0.26824343,0.46918333
22,1.0,0.56994987,0.0123176575,0.5131774,0.17506564,-0.6342269,-0.13732886,0.04712081,-0.8979264,0.7247361,0.9189975,0.45540118,0.54722273,0.46918333
23,1.0,-0.061616838,0.0123176575,-0.10410321,0.17506564,-0.8845268,-0.13732886,0.04712081,0.5287708,0.7247361,-0.8410011,0.99277794,-0.6453301,0.14493954
24,1.0,0.56994987,0.11757672,-0.10410321,0.79395247,-0.6342269,-0.13732886,0.6396488,-0.8979264,0.7247361,-0.8410011,0.45540118,-0.6453301,0.074759126
25,1.0,-0.5210692,0.0123176575,0.5131774,0.17506564,-0.6342269,-0.13732886,0.6396488,-0.8979264,0.13340545,0.23960435,0.99277794,0.26824343,0.14493954
26,1.0,0.5250304,0.11757672,-0.10410321,0.17506564,-0.6342269,-0.13732886,-0.5416888,0.5287708,0.13340545,0.17970192,0.99277794,0.26824343,0.5981778
27,1.0,0.5250304,0.27188063,0.58622026,0.17506564,-0.6342269,-0.4953755,0.6396488,-0.8979264,0.13340545,-0.8410011,0.45540118,-0.282574,0.074759126
28,1.0,0.5250304,0.0123176575,0.5131774,0.17506564,-0.6342269,-0.13732886,-0.5416888,-0.3767203,0.13340545,0.17970192,0.99277794,-0.6453301,0.074759126
29,1.0,-0.5210692,0.11757672,0.58622026,0.17506564,-0.6342269,-0.4953755,0.6396488,-0.3767203,0.026027441,0.17970192,0.45540118,-0.14125538,0.42729163
30,1.0,0.5250304,0.19926381,0.58622026,0.14846814,-0.6342269,-0.13732886,0.6396488,-0.5694474,0.13340545,-0.8410011,0.99277794,-0.282574,0.074759126
31,1.0,0.5250304,0.19926381,0.58622026,0.37049055,-0.6342269,-0.13732886,0.6396488,-0.8979264,0.9463732,0.17970192,0.99277794,-0.14125538,0.074759126
32,1.0,-0.061616838,0.19926381,0.58622026,0.86239886,-0.573326,-0.13732886,0.51032305,-0.5694474,0.13340545,0.23960435,0.99277794,-0.282574,0.074759126
33,1.0,0.5250304,0.19926381,0.58622026,0.17506564,-0.4699329,-0.4953755,-0.34632862,-0.5694474,0.9463732,0.17970192,0.8815464,-0.282574,0.074759126
34,1.0,-0.061616838,0.013299227,0.5131774,0.17506564,-0.6342269,-0.4953755,0.6396488,-0.95187557,0.026027441,0.91854966,0.99277794,0.62711847,0.074759126
35,1.0,-0.061616838,0.19926381,0.5131774,0.8494395,-0.53877604,0.715024,0.6396488,-0.5694474,0.9463732,0.23960435,0.99277794,-0.282574,0.074759126
36,1.0,-0.9333519,0.013299227,0.5131774,0.8494395,-0.53877604,-0.4953755,-0.34632862,-0.95187557,0.13340545,0.23960435,0.8393699,-0.282574,0.42729163
37,1.0,-0.061616838,0.04862857,0.5131774,0.8494395,-0.53877604,0.715024,-0.34632862,-0.95187557,0.9463732,0.0118460655,0.8393699,-0.6453301,0.074759126
38,1.0,0.7182729,0.013299227,-0.47988278,0.8494395,-0.4699329,-0.4953755,-0.34632862,-0.5694474,0.9463732,0.91854966,0.078033686,-0.282574,-0.34733784
39,1.0,0.7182729,0.04862857,0.5131774,0.8494395,0.17871785,0.37926424,-0.34632862,-0.95187557,-0.6224568,0.91854966,0.8393699,0.62711847,-0.68310326
40,1.0,0.46594787,0.013299227,0.5131774,-0.18864936,-0.53877604,0.715024,-0.34632862,-0.5694474,0.9463732,-0.10689139,0.8393699,-0.282574,-0.68310326
41,1.0,-0.9333519,0.04862857,0.5131774,0.8494395,-0.53877604,0.715024,-0.34632862,-0.5694474,0.13340545,0.91854966,0.8393699,-0.14125538,-0.4736433
42,1.0,0.7182729,0.04862857,-0.6375922,0.8494395,-0.4699329,0.3479644,-0.34632862,-0.5694474,0.9463732,-0.10689139,0.078033686,-0.2454521,-0.4065308
43,1.0,0.46594787,0.19926381,-0.6375922,-0.029663026,-0.16412616,0.37926424,-0.34632862,-0.95187557,0.63148427,0.7142782,0.8393699,-0.2454521,-0.34733784
44,1.0,0.46594787,-0.12868136,0.5131774,0.8494395,-0.53877604,0.37926424,-0.72090864,-0.95187557,0.9463732,0.91854966,0.8393699,0.62711847,-0.68310326
45,1.0,0.46594787,0.04862857,0.5131774,-0.029663026,0.17871785,0.3479644,0.062301397,-0.2308675,-0.6224568,0.0118460655,-0.1509242,-0.2454521,-0.4736433
46,1.0,0.46594787,0.19926381,-0.5795374,-0.029663026,-0.53877604,0.715024,-0.34632862,-0.2308675,0.13340545,0.7142782,0.078033686,-0.2454521,-0.4065308
47,1.0,-0.10967922,0.19926381,-0.5795374,0.53139913,-0.16412616,0.37926424,-0.03637898,-0.2308675,0.4856701,0.7142782,-0.1509242,-0.2454521,-0.4065308
48,1.0,0.46594787,0.19926381,-0.5795374,0.53139913,-0.53877604,0.3479644,-0.72090864,-0.2308675,0.63148427,0.0118460655,0.078033686,-0.2454521,-0.4065308
49,1.0,0.46594787,-0.39686376,-0.6375922,-0.029663026,-0.59839237,0.37926424,-0.03637898,-0.16260624,-0.47426504,0.9585124,-0.05321598,0.54881144,-0.4736433
50,1.0,-0.10967922,0.19926381,-0.5795374,0.53139913,-0.59839237,0.3479644,-0.03637898,-0.2308675,0.4856701,0.9585124,-0.05321598,-0.2454521,-0.4065308
51,1.0,0.7182729,0.19926381,0.25711393,0.53139913,-0.59839237,0.37926424,-0.03637898,-0.2308675,0.63148427,0.9585124,-0.1509242,0.54881144,-0.4065308
52,1.0,0.77545977,-0.39686376,-0.6375922,0.6437985,-0.59839237,0.3479644,-0.72090864,-0.896137,0.4856701,0.9585124,-0.05321598,0.54881144,-0.4065308
53,1.0,0.7182729,-0.39686376,-0.6375922,0.53139913,-0.53877604,0.3479644,-0.03637898,-0.95187557,0.4856701,0.9585124,-0.05321598,0.54881144,-0.4736433
54,1.0,0.7182729,0.73488355,-0.6375922,0.53139913,-0.53877604,0.3479644,-0.03637898,-0.95187557,0.4856701,0.9585124,-0.05321598,0.54881144,-0.66032565
55,1.0,-0.5661813,-0.5321295,0.25711393,-0.8063236,0.5687294,0.3479644,-0.03637898,-0.95187557,0.4856701,0.9585124,-0.66549534,0.54881144,0.8475274
56,1.0,0.77545977,0.73488355,-0.6375922,0.53139913,0.5687294,0.3479644,-0.64863795,-0.2308675,-0.578297,-0.84359354,-0.05321598,0.54881144,-0.66032565
57,1.0,0.77545977,0.73488355,0.92179346,0.53139913,-0.53877604,0.3479644,-0.03637898,-0.896137,-0.578297,-0.13326836,-0.05321598,-0.2454521,-0.4065308
58,1.0,0.77545977,0.19926381,0.25711393,0.6437985,0.5687294,0.22001338,-0.64863795,0.32462108,-0.578297,-0.84359354,-0.05321598,0.54881144,0.8475274
59,1.0,0.7182729,-0.5321295,-0.10655409,-0.8063236,0.18820465,-0.90384823,-0.03637898,0.32462108,-0.578297,-0.13326836,-0.66549534,-0.3025056,0.8475274
60,1.0,-0.5661813,0.19926381,-0.8841261,-0.8063236,0.5687294,0.3479644,0.81708276,-0.2308675,-0.578297,-0.84359354,-0.05321598,-0.3025056,0.8475274
61,1.0,0.7182729,-0.5321295,0.25711393,-0.8063236,0.18820465,0.3479644,0.81708276,-0.2308675,-0.578297,-0.13326836,-0.05321598,-0.2454521,0.8475274
62,1.0,0.77545977,0.73488355,0.25711393,-0.8063236,-0.53877604,0.3479644,-0.03637898,0.32462108,-0.578297,-0.84359354,-0.05321598,-0.3025056,-0.31557244
63,1.0,-0.5661813,-0.5321295,0.25711393,0.6437985,0.18820465,-0.5639247,-0.30235702,0.8800974,-0.578297,-0.84359354,-0.05321598,0.54881144,0.8475274
64,1.0,-0.5661813,0.73488355,0.25711393,-0.8063236,0.5687294,-0.90384823,-0.30235702,0.8800974,0.8824848,-0.13326836,-0.66549534,0.54881144,-0.31557244
65,1.0,-0.5661813,0.8134897,0.25711393,-0.8063236,0.5687294,-0.90384823,0.81708276,0.8800974,0.8824848,-0.13326836,-0.66549534,0.54881144,-0.0656302
