ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12
0,1.0,-0.42736137,-0.34265584,-0.41607797,-0.96088684,-0.39331126,0.24304926,-0.8843652,-0.56383616,-0.454215,0.9681463,0.97511554,0.8534353,-0.44341892
1,1.0,-0.42736137,0.23923516,0.2269963,-0.7444539,-0.31905478,-0.24458027,-0.8843652,-0.38732558,-0.454215,0.5618994,-0.3158325,-0.6570054,-0.32654774
2,1.0,-0.42736137,0.23923516,0.2269963,-0.0061175823,-0.39331126,0.24304926,-0.8843652,-0.38732558,-0.79370475,-0.868398,-0.3158325,-0.6570054,0.387393
3,1.0,-0.42736137,0.23923516,0.2269963,-0.0061175823,-0.39331126,0.24304926,-0.8843652,-0.38732558,-0.454215,-0.868398,0.6427183,-0.8998891,-0.32654774
4,1.0,-0.42736137,0.23923516,0.2269963,-0.0061175823,-0.31905478,0.98544014,-0.8843652,-0.26829708,-0.68637025,-0.868398,-0.6869563,0.8534353,0.387393
5,1.0,-0.42736137,-0.34265584,-0.5730703,-0.0061175823,-0.39331126,0.24304926,0.02643323,-0.56383616,-0.267206,-0.868398,-0.3158325,-0.6570054,0.387393
6,1.0,-0.42736137,0.23923516,0.7218194,-0.0061175823,-0.39331126,0.98544014,-0.8843652,-0.38732558,-0.68637025,-0.868398,0.6427183,0.8534353,-0.32654774
7,1.0,-0.32530892,-0.34265584,0.7218194,-0.88750213,-0.39331126,0.24304926,-0.8843652,-0.26829708,-0.68637025,-0.868398,-0.355775,0.8534353,0.387393
8,1.0,-0.42736137,-0.34265584,0.2269963,-0.0061175823,-0.39331126,-0.24458027,0.02643323,-0.56383616,-0.68637025,-0.868398,-0.355775,0.16550148,0.387393
9,1.0,0.7722167,0.23923516,-0.028262615,-0.88750213,-0.39331126,0.24304926,-0.8721924,-0.26829708,-0.454215,-0.868398,-0.355775,0.16550148,0.387393
10,1.0,-0.42736137,0.23923516,0.2269963,0.8819182,-0.37338287,-0.24458027,0.02643323,-0.56383616,-0.267206,-0.754487,-0.6869563,0.8534353,0.387393
11,1.0,0.7722167,0.23923516,0.7218194,-0.0061175823,-0.39331126,0.24304926,-0.8721924,-0.38732558,-0.454215,-0.868398,-0.355775,0.67021894,-0.32654774
12,1.0,0.7722167,-0.34265584,0.7218194,-0.88750213,-0.37338287,0.24304926,-0.8721924,-0.56383616,-0.454215,-0.754487,-0.355775,-0.6570054,0.387393
13,1.0,0.7722167,0.23923516,-0.028262615,-0.88750213,-0.37338287,0.6221528,0.46683586,0.32333624,-0.454215,-0.754487,-0.355775,0.8534353,0.37005472
14,1.0,0.7722167,0.20711553,-0.028262615,0.8819182,-0.37338287,0.24304926,0.46683586,-0.56383616,-0.454215,-0.754487,-0.6869563,0.8534353,0.387393
15,1.0,-0.1229434,0.20711553,0.9604107,0.8819182,-0.37338287,0.24304926,-0.8721924,-0.56383616,0.4438082,-0.61237395,-0.77189404,0.67021894,0.37005472
16,1.0,0.7722167,0.20711553,0.9604107,-0.88750213,-0.37338287,0.6221528,-0.8721924,0.32333624,0.63070023,-0.754487,-0.355775,0.8534353,0.37005472
17,1.0,0.7722167,-0.34265584,-0.028262615,-0.88750213,-0.37338287,0.6221528,-0.8721924,-0.38732558,0.4438082,-0.754487,-0.355775,0.67021894,0.37005472
18,1.0,0.7722167,0.20711553,-0.028262615,-0.88750213,-0.37338287,0.6221528,-0.8721924,0.8665943,-0.454215,-0.754487,-0.355775,0.67021894,0.37005472
19,1.0,0.7722167,0.20711553,0.9604107,-0.88750213,-0.37338287,0.6221528,-0.8721924,0.32333624,0.4438082,-0.754487,-0.77189404,-0.46995765,0.37005472
20,1.0,-0.9317336,0.20711553,-0.028262615,0.8819182,0.83857524,0.6221528,-0.8721924,0.8665943,0.4438082,0.5759661,-0.77189404,-0.46995765,0.37005472
21,1.0,0.55432785,0.029458523,-0.028262615,-0.88750213,0.83857524,0.6221528,-0.8721924,-0.15781051,0.4438082,-0.754487,0.5239254,-0.46995765,0.37005472
22,1.0,-0.517743,0.20711553,0.715585,-0.88750213,-0.37338287,0.6221528,-0.8721924,0.8665943,0.4438082,-0.61237395,-0.77189404,0.67021894,0.37005472
23,1.0,-0.9317336,0.20711553,0.715585,0.8819182,-0.37338287,0.6221528,-0.8721924,-0.83866096,0.4438082,0.5759661,-0.77189404,-0.46995765,0.37005472
24,1.0,-0.9317336,0.20711553,0.715585,-0.88750213,0.83857524,0.22441542,-0.8721924,0.8665943,0.4438082,0.5759661,-0.77189404,0.67021894,0.37005472
25,1.0,-0.517743,0.10460353,0.9604107,0.7556145,-0.37338287,0.6221528,-0.8721924,-0.83866096,0.4438082,0.5759661,-0.77189404,-0.46995765,0.37005472
26,1.0,-0.9317336,0.20711553,-0.028262615,0.7556145,-0.37338287,0.6221528,-0.8721924,-0.83866096,0.4438082,0.5759661,-0.3019055,-0.46995765,0.37005472
27,1.0,-0.517743,0.10460353,0.715585,0.17281032,-0.37338287,0.6221528,0.46683586,-0.83866096,-0.39581484,-0.61237395,-0.5532353,-0.46995765,-0.5528378
28,1.0,-0.9317336,0.20711553,0.9604107,0.8819182,-0.37338287,-0.0388152,-0.8721924,-0.15781051,0.4438082,0.400272,0.8773118,-0.46995765,0.37005472
29,1.0,-0.9317336,0.29675937,0.9604107,0.7556145,-0.37338287,0.6221528,-0.31681037,-0.83866096,0.4438082,0.400272,0.8773118,-0.46995765,0.37005472
30,1.0,-0.9317336,0.29675937,0.715585,0.7556145,-0.37338287,-0.0388152,-0.8721924,0.5905049,0.4438082,0.400272,-0.77189404,-0.46995765,0.37005472
31,1.0,-0.9317336,0.10460353,-0.11891621,-0.61377084,0.83857524,-0.3657034,-0.31681037,0.5905049,-0.39581484,-0.5783713,0.5239254,-0.009464681,0.37005472
32,1.0,-0.517743,0.10460353,-0.11891621,0.7556145,0.83857524,-0.3657034,-0.5131558,-0.45929575,-0.39581484,-0.5783713,0.8773118,-0.009464681,-0.5528378
33,1.0,-0.9317336,0.10460353,-0.11891621,0.9101268,0.83857524,-0.0388152,-0.8721924,-0.45929575,-0.39581484,-0.5783713,0.8773118,-0.009464681,0.37005472
34,1.0,-0.517743,0.29675937,-0.11891621,0.7556145,0.83857524,-0.3657034,-0.8721924,0.5905049,-0.39581484,0.400272,-0.5532353,-0.009464681,-0.5494228
35,1.0,-0.9317336,0.10460353,-0.11891621,0.9101268,0.83857524,-0.77175653,-0.5131558,0.5905049,-0.39581484,-0.5783713,-0.5532353,-0.009464681,-0.5494228
36,1.0,-0.517743,-0.6209072,0.6390008,0.7556145,0.049458265,-0.3657034,-0.8721924,0.5905049,-0.39581484,-0.5783713,-0.5532353,-0.7463125,-0.5494228
37,1.0,0.20715368,-0.6209072,0.91082215,0.43117547,0.2756809,0.6000259,-0.31681037,-0.45929575,-0.39581484,-0.5783713,0.1767435,-0.009464681,-0.5494228
38,1.0,-0.9317336,-0.6209072,0.6390008,0.43117547,0.83857524,0.6000259,0.88825107,0.3109914,0.4438082,0.400272,-0.5532353,-0.009464681,-0.5494228
39,1.0,-0.517743,-0.6209072,0.6390008,0.7556145,0.83857524,-0.77175653,-0.5131558,0.3109914,-0.39581484,-0.5783713,-0.5532353,-0.7463125,-0.5494228
40,1.0,-0.20578259,0.29675937,0.6390008,0.7556145,0.049458265,0.6000259,0.88595486,0.5905049,-0.6605135,-0.5783713,0.1767435,-0.075798035,-0.5494228
41,1.0,-0.20578259,0.29675937,0.91082215,0.9101268,0.2756809,-0.77175653,0.9047493,0.3109914,-0.6605135,0.0053792,-0.5532353,-0.009464681,-0.5494228
42,1.0,-0.20578259,-0.6209072,0.91082215,0.43117547,0.83857524,-0.8101576,0.9047493,0.3109914,-0.6605135,-0.6082777,0.1767435,-0.009464681,-0.13303667
43,1.0,-0.20578259,-0.80886674,0.91082215,0.074058294,0.2756809,-0.77175653,0.9047493,0.3109914,-0.39581484,0.0053792,-0.5532353,-0.075798035,-0.5494228
44,1.0,0.025290608,-0.80886674,0.91082215,0.7556145,0.82083905,-0.8101576,0.9047493,0.3109914,-0.6605135,-0.5783713,0.3051312,-0.075798035,-0.13303667
45,1.0,0.025290608,-0.48909533,0.91082215,0.9101268,0.2756809,-0.77175653,0.9047493,0.3109914,-0.39581484,0.0053792,-0.5532353,-0.075798035,-0.5494228
46,1.0,0.025290608,-0.80886674,0.91082215,0.074058294,0.82083905,-0.8101576,0.9047493,0.3109914,-0.6605135,0.8532349,-0.5532353,-0.075798035,-0.5494228
47,1.0,0.025290608,-0.80886674,0.91082215,0.7556145,-0.95979905,-0.77175653,0.9047493,0.5905049,0.8599322,0.0053792,-0.5532353,-0.009464681,0.588732
48,1.0,0.025290608,-0.48909533,-0.20019525,0.9101268,-0.95979905,-0.8101576,0.9047493,0.5905049,0.8599322,0.5939734,0.3051312,-0.075798035,-0.18223637
49,1.0,0.025290608,-0.80886674,0.35560572,0.9101268,0.049458265,-0.8101576,0.9047493,0.5905049,0.8599322,0.5939734,-0.837484,-0.075798035,-0.18223637
50,1.0,0.025290608,0.23928618,0.35560572,0.9101268,-0.95979905,-0.18571222,0.9047493,-0.67400044,0.8599322,0.0053792,-0.5532353,-0.075798035,-0.18223637
51,1.0,0.025290608,0.23928618,0.35560572,0.9101268,-0.95979905,-0.8101576,0.9047493,-0.67400044,0.8599322,0.5939734,0.3051312,-0.009464681,-0.18223637
52,1.0,0.025290608,0.23928618,0.35560572,0.956251,-0.95979905,-0.9235779,-0.8575091,0.5905049,0.8599322,0.5939734,0.3051312,0.026030421,-0.18223637
53,1.0,0.025290608,0.6244987,0.35560572,0.9101268,-0.95979905,-0.8101576,0.9047493,0.5905049,0.8599322,-0.07399434,0.58417153,0.026030421,-0.44272488
54,1.0,0.025290608,0.6244987,0.44023204,0.956251,-0.95979905,-0.9235779,0.9047493,0.5905049,0.8599322,0.5939734,-0.837484,-0.075798035,-0.18223637
55,1.0,0.025290608,-0.24416316,0.35560572,0.956251,-0.95979905,-0.18571222,-0.8575091,0.5905049,0.8599322,0.5939734,0.3051312,-0.075798035,-0.18223637
56,1.0,0.54946184,0.6244987,-0.41953593,-0.5527659,-0.95979905,-0.9235779,-0.8575091,0.4255501,0.8599322,-0.07399434,0.8102547,0.026030421,-0.44272488
57,1.0,0.025290608,0.823493,-0.3322364,0.956251,0.82083905,-0.9235779,-0.8575091,0.4255501,0.8599322,0.0053792,0.8102547,-0.075798035,-0.13303667
58,1.0,-0.06669897,0.6244987,-0.41953593,0.956251,-0.95979905,-0.9235779,-0.8575091,-0.70978975,-0.55011535,0.0053792,-0.36677945,-0.075798035,-0.13303667
59,1.0,-0.40779704,0.6244987,-0.3322364,-0.5527659,-0.53543365,-0.9235779,-0.8575091,0.4255501,0.8599322,0.0053792,0.8102547,-0.075798035,-0.44272488
60,1.0,0.54946184,-0.9015581,0.44023204,-0.3690518,-0.95979905,-0.74766463,-0.8575091,0.4255501,-0.30905396,0.0053792,-0.36677945,0.6422386,-0.18223637
61,1.0,0.025290608,0.823493,-0.41953593,-0.5527659,0.82083905,-0.9235779,-0.8575091,-0.09491885,-0.55011535,-0.07399434,-0.36677945,-0.075798035,-0.44272488
62,1.0,-0.40779704,0.823493,0.6420324,-0.3690518,-0.95979905,-0.8623855,-0.34332585,0.4255501,-0.55011535,0.0053792,-0.36677945,0.6422386,-0.44272488
63,1.0,-0.23778212,-0.9015581,-0.3322364,-0.3690518,0.82083905,-0.9235779,-0.012382865,-0.09491885,-0.55011535,-0.07399434,-0.36677945,0.46680307,-0.44272488
64,1.0,-0.40779704,0.823493,0.6420324,0.956251,-0.51993084,-0.9235779,-0.8575091,-0.09491885,-0.55011535,-0.07399434,0.6571857,0.46680307,-0.44272488
65,1.0,0.21259522,0.823493,0.6420324,0.956251,0.82083905,-0.74766463,-0.012382865,-0.09491885,-0.49488997,-0.07399434,0.6124079,0.46680307,-0.44272488
66,1.0,0.21259522,-0.9015581,0.6420324,-0.5527659,-0.51993084,-0.74766463,-0.83057207,-0.06509268,-0.55011535,-0.07399434,-0.36677945,0.6422386,-0.44272488
67,1.0,-0.524021,0.823493,0.84880126,-0.3690518,-0.95979905,-0.74766463,-0.8575091,-0.06509268,-0.30278873,-0.07399434,0.6571857,0.46680307,-0.44272488
68,1.0,-0.23778212,0.823493,0.3661716,-0.57350004,-0.51993084,-0.74766463,-0.48601907,-0.06509268,-0.30278873,-0.07399434,0.6571857,0.46680307,-0.44272488
69,1.0,0.9908817,-0.07527882,0.3661716,-0.3690518,-0.51993084,-0.74766463,-0.83057207,-0.06509268,-0.55011535,-0.07399434,0.6571857,0.6422386,-0.44272488
70,1.0,-0.40779704,-0.07527882,0.3661716,-0.3690518,-0.51993084,-0.60555255,-0.83057207,-0.06509268,-0.30278873,-0.42866278,0.6571857,0.6422386,-0.44272488
71,1.0,-0.23778212,-0.07527882,0.3661716,-0.5129068,-0.51993084,-0.99589354,-0.48601907,-0.09491885,-0.30278873,-0.07399434,0.6124079,0.6422386,-0.44272488
72,1.0,0.9908817,0.5179864,-0.41607797,-0.57350004,0.24434912,0.13840532,-0.83057207,-0.06509268,-0.30278873,-0.07399434,0.6124079,0.46680307,-0.44272488
