ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12
0,1.0,0.24838519,0.6495081,-0.15327996,-0.5476922,-0.29905814,-0.35082674,0.893597,-0.0728088,-0.3780551,-0.40522033,0.28594434,-0.89538276,-0.10878724
1,1.0,0.17143297,0.6495081,-0.15327996,0.7067888,-0.29905814,0.04806924,0.198632,-0.0728088,-0.73851115,-0.40522033,-0.25845206,-0.89538276,0.5256866
2,1.0,0.24838519,0.6495081,-0.15327996,-0.5476922,-0.29905814,-0.35082674,0.39206052,-0.59886503,-0.73851115,-0.40522033,0.28594434,-0.89538276,-0.10878724
3,1.0,0.24838519,0.6495081,-0.78526855,-0.5476922,-0.441153,-0.35082674,0.893597,-0.0728088,-0.73851115,-0.60338676,0.33102965,-0.23546904,0.0122516155
4,1.0,0.17143297,0.6495081,0.23259461,-0.5476922,-0.441153,-0.35082674,0.39206052,-0.0728088,-0.73851115,-0.40522033,-0.25845206,-0.89538276,-0.10878724
5,1.0,0.17143297,0.6495081,-0.91536206,-0.5476922,-0.67097026,0.04806924,0.01576221,-0.0728088,-0.73851115,0.18185139,0.33102965,-0.23546904,-0.10878724
6,1.0,-0.50935334,0.6495081,-0.91536206,-0.5476922,-0.29905814,-0.35082674,0.39206052,-0.59886503,-0.73851115,-0.40522033,-0.25845206,-0.5769243,0.0122516155
7,1.0,0.24838519,0.6495081,-0.91536206,-6.2942505E-5,-0.441153,-0.35082674,0.39206052,-0.59886503,-0.73851115,-0.40522033,-0.25845206,-0.23546904,-0.10878724
8,1.0,-0.50935334,0.6495081,0.23259461,-0.5476922,-0.67097026,0.04806924,0.01576221,0.44032574,-0.73851115,-0.40522033,-0.25845206,-0.8973639,0.0122516155
9,1.0,0.17143297,-0.6182269,-0.91536206,0.22351182,-0.67097026,0.9397932,0.39206052,-0.22630113,-0.73851115,-0.40522033,0.33102965,-0.8973639,0.0122516155
