ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12
0,1.0,0.5965797,-0.3317845,0.20371282,0.7296442,0.8765913,-0.5180532,-0.11670244,-0.14695382,-0.3293152,-0.9105761,-0.73516494,0.9081702,-0.4077208
1,1.0,0.5023234,0.28529406,0.1640495,-0.37850112,0.097768545,-0.5393363,-0.11670244,-0.4521957,-0.12203723,-0.9105761,-0.08383447,0.9081702,-0.81925106
2,1.0,0.5023234,-0.3317845,0.33961713,-0.37850112,-0.10878688,-0.6901163,-0.11670244,-0.14695382,-0.12203723,-0.9105761,0.7812567,0.9081702,-0.4077208
3,1.0,0.5023234,0.28529406,0.1640495,-0.37850112,0.8765913,-0.5393363,-0.10779798,-0.14695382,-0.3293152,-0.9105761,-0.08383447,0.9081702,0.02356553
4,1.0,0.5965797,0.23719966,0.33961713,-0.37850112,0.62534344,-0.5180532,-0.10779798,-0.14695382,-0.3293152,-0.9105761,-0.73516494,0.9081702,-0.4077208
5,1.0,0.5386888,0.28529406,0.20371282,0.5942863,0.8765913,-0.5180532,-0.11670244,-0.2540818,-0.3293152,0.024741054,-0.21054178,0.9081702,-0.4077208
6,1.0,0.8961797,0.28529406,0.23535275,-0.37850112,0.62534344,-0.5180532,-0.10779798,-0.4521957,-0.12203723,-0.9105761,-0.08383447,0.9081702,0.02356553
7,1.0,0.8961797,0.28529406,-0.18089664,-0.72742623,0.62534344,-0.5180532,-0.10779798,-0.14695382,-0.09508079,0.0824604,-0.08383447,0.9081702,-0.81925106
8,1.0,0.5386888,0.28529406,-0.18089664,0.5942863,0.62534344,-0.5393363,-0.10779798,-0.2540818,-0.3293152,0.024741054,-0.21054178,0.9081702,-0.35122913
9,1.0,0.5386888,0.28529406,0.23535275,0.5942863,0.07087445,-0.52297807,-0.10779798,-0.14695382,-0.09508079,0.0824604,-0.21054178,0.9081702,-0.81925106
10,1.0,0.5386888,0.28529406,0.73882556,-0.72742623,0.62534344,-0.52297807,-0.10779798,-0.2540818,-0.09508079,-0.9105761,-0.21054178,0.9081702,-0.81925106
11,1.0,0.8640666,0.23719966,0.73882556,-0.37850112,0.62534344,-0.5180532,-0.78036517,-0.14695382,-0.7980565,0.0824604,-0.21054178,-0.9754593,-0.81925106
12,1.0,0.5386888,0.23719966,0.73882556,-0.72742623,0.62534344,0.22081196,-0.78036517,-0.14695382,-0.4285729,0.0824604,-0.21054178,-0.9754593,-0.0047406554
13,1.0,0.8640666,0.28529406,-0.18089664,0.5942863,0.07087445,-0.52297807,-0.78036517,0.87639403,-0.09508079,0.0824604,-0.21054178,-0.9754593,-0.0047406554
