Generation,Maximum Fitness,Average Fitness,Variance
0,8.296406,4.7745996,2.299933
1,8.296406,4.8190365,2.2042096
2,8.296406,4.865194,2.0332196
3,8.296406,4.8910155,2.0593529
4,8.296406,4.9160814,1.8507148
5,8.296406,4.9084415,1.8354288
6,8.296406,5.01321,1.881213
7,8.296406,5.0500507,1.9514803
8,8.296406,5.0976653,2.0583935
9,8.296406,5.1153016,2.1662607
10,8.296406,5.120468,2.2179983
11,8.296406,5.118155,2.3233423
12,8.296406,5.1044545,2.3105152
13,8.296406,5.136509,2.34644
14,8.296406,5.2068243,2.2479107
15,8.296406,5.1883473,2.3047457
16,8.296406,5.2433763,2.0864544
17,8.296406,5.279962,2.1833649
18,8.296406,5.4504333,2.0946226
19,8.296406,5.5043745,2.0891633
20,8.296406,5.5618176,2.1237776
21,8.296406,5.638681,2.0311751
22,8.296406,5.7059345,1.921711
23,8.296406,5.727648,1.9270456
24,8.296406,5.8213477,1.7945788
25,8.296406,5.8258295,1.8005196
26,8.296406,5.8330626,1.8046002
27,8.296406,5.9172473,1.8975569
28,8.296406,5.961818,1.898902
29,8.296406,5.989134,2.0038462
30,8.296406,6.009698,2.0330973
31,8.296406,6.076039,2.0479736
32,8.296406,6.086517,2.0387182
33,8.296406,6.0806084,2.3504047
34,8.296406,6.1100683,2.411869
35,8.296406,6.2107697,2.6088643
36,8.296406,6.2821617,2.417263
37,8.296406,6.3032403,2.459884
38,8.296406,6.3685637,2.307197
39,8.296406,6.4818068,1.9221861
40,8.296406,6.5177965,1.6354395
41,8.296406,6.4977727,1.6001326
42,8.296406,6.5470347,1.6019877
43,8.296406,6.5754743,1.6212612
44,8.296406,6.579051,1.6176816
45,8.296406,6.6365314,1.5519332
46,8.296406,6.646637,1.7426722
47,8.296406,6.7035427,1.6987947
48,8.296406,6.744588,1.6145093
49,8.296406,6.784783,1.5760497
50,8.296406,6.836405,1.5329418
51,8.296406,6.907957,1.369255
52,8.296406,6.9341955,1.3488636
53,8.296406,7.0009966,1.066253
54,8.296406,7.0007753,1.0666428
55,8.296406,7.013343,1.0723248
56,8.296406,7.0576878,1.0869058
57,8.296406,7.0869365,1.0191
58,8.296406,7.1106634,1.0186163
59,8.296406,7.10686,1.0307283
60,8.296406,7.1548433,1.0098282
61,8.296406,7.156426,1.0067567
62,8.296406,7.1804795,0.9995156
63,8.296406,7.180502,1.2017663
64,8.296406,7.199242,1.209987
65,8.296406,7.263075,0.9080572
66,8.296406,7.2931523,0.908843
67,8.296406,7.3157897,0.8359398
68,8.296406,7.3062806,0.8587994
69,8.296406,7.33219,0.8383841
70,8.296406,7.3721523,0.7798942
71,8.296406,7.3696156,0.78645116
72,8.296406,7.3687434,0.7875058
73,8.296406,7.3592424,0.7915884
74,8.296406,7.3841743,0.7840056
75,8.296406,7.3841743,0.7840056
76,8.296406,7.373974,0.7929299
77,8.296406,7.425149,0.7204952
78,8.296406,7.4387774,0.6997725
79,8.296406,7.4197326,0.70934016
80,8.296406,7.4254317,0.77361
81,8.296406,7.42599,0.77239156
82,8.296406,7.4819746,0.73163533
83,8.296406,7.4964104,0.7281434
84,8.296406,7.5144067,0.6538291
85,8.296406,7.5517454,0.56604475
86,8.296406,7.5698066,0.5544435
87,8.296406,7.6013427,0.5403401
88,8.296406,7.571217,0.5909541
89,8.296406,7.6036787,0.53793085
90,8.296406,7.6241417,0.513558
91,8.296406,7.622276,0.5245179
92,8.296406,7.6444283,0.51071626
93,8.296406,7.6676154,0.47559974
94,8.296406,7.668219,0.47603795
95,8.296406,7.680535,0.4658552
96,8.296406,7.677685,0.47485498
97,8.296406,7.6931267,0.4656901
98,8.296406,7.694334,0.4665033
99,8.296406,7.693887,0.47488338
